PolynomialFeatures,MLP,PATCHTST_MAPE,Informer_MAPE,IMOE-woFO,IMOE-linear,IMOE
4.32795885,0.646251611,0.391218066,1.531854738,0.462545594,0.482886611,0.616943277
0.177457564,0.663265001,0.476861186,0.574471708,0.421755156,0.700505916,0.342612551
0.497441809,0.771881899,0.613041176,1.23718679,0.520823058,0.57443874,0.330009405
0.467688776,1.140783375,0.763377408,1.163476519,0.448702043,0.932119973,0.53135124
0.471124791,0.671612459,0.39676358,0.71820193,0.533571374,0.365304062,0.392545899
0.669128382,0.609536189,0.401627459,0.849667192,0.390484859,0.26938268,0.345489918
0.725745706,0.628847963,0.340314163,0.880910549,0.241918606,0.420471886,0.63994918
2.041182442,0.624493509,0.517935771,1.544304378,0.406216877,0.303973467,0.715661934
0.581875055,0.675005321,0.350093795,4.928633571,0.443590479,0.449148659,0.362008694
1.186472097,0.621366802,0.428491831,1.450668927,0.323641975,0.26689868,0.63740192
1.310178494,1.406771107,1.015441865,4.798072204,1.126363408,1.838289201,0.15885249
2.308060794,1.285905842,0.785499811,0.686052302,0.986017194,0.884709321,0.297737867
0.504843306,1.375757589,0.375118782,2.562765218,0.771160191,0.839845929,0.328294374
1.120385239,1.185756018,0.396090047,0.876121875,0.937762111,1.079012454,0.203600619
1.428987471,1.194321113,0.552387116,1.517829578,1.033666916,0.859169383,0.344782975
1.460584448,1.235963572,1.162287034,0.668301992,0.81111053,1.258613355,0.316204992
1.486310603,1.412292555,0.717896037,2.130892314,1.016998384,1.076452993,0.158727064
1.096571013,1.39777967,0.69257482,0.907327048,1.073442306,1.314825285,0.258165482
0.904403829,1.301212031,0.502458448,0.837105513,0.941529218,1.152391918,0.313104596
0.972021992,1.409299354,0.620912528,1.185653824,0.968494825,1.161047816,0.186084851
1.017343216,0.996785723,1.366753131,4.555816203,5.50211817,3.919210657,0.808550417
1.457941348,0.714792245,0.972845592,1.741083711,4.55843173,3.572537377,0.865126029
0.50818688,0.892062485,2.830977738,1.589450426,4.41233255,3.834306821,0.844400842
0.567924255,0.957231178,1.308238041,1.370644104,5.426713824,1.32621862,0.829434674
5.31251585,1.018176799,1.253053732,1.20484978,0.979018584,1.493635867,0.935970712
2.129397536,0.866149715,1.403967757,2.15395838,0.2548686,0.300171482,1.093178336
0.220287454,0.785246223,1.303347945,1.892893389,0.259768823,0.326467236,0.906299986
0.466292327,0.885599473,1.200294867,2.552563325,0.202644127,0.380970887,1.046766341
0.304862257,0.794428833,1.393334195,3.162968159,0.209084945,0.315856305,0.911999401
0.490163072,0.913779231,1.30856866,1.035027672,0.352785573,0.345294806,1.072076708
0.476793139,0.953497939,1.202538982,4.326489568,0.388308452,0.35539947,1.021260023
0.221167095,0.974567199,1.12403594,1.255668513,0.356001337,0.362642528,0.779738324
0.310094173,1.043978832,1.245466992,1.40453428,0.347550516,0.360895414,0.954283401
0.194026633,0.969669547,1.112886891,1.212183665,0.385867315,0.363414059,1.003426313
0.584986044,1.000710214,1.145382505,1.741980016,0.37729789,0.39406349,0.776770618
0.569977178,1.09278719,1.28973797,1.555189304,0.372486049,0.503985863,0.8466864
0.769877006,1.02068877,1.340027805,1.717943698,0.264041615,0.398765458,0.747300498
0.388789601,0.886979921,1.908852346,1.240326185,0.370496558,0.809402205,0.910338853
0.519782724,1.054034134,1.465186384,1.318997052,0.548320683,0.778607698,0.820108783
0.60600198,1.072627142,1.278834138,1.266128011,0.316714123,0.349309552,0.986657292
0.320920365,2.707094334,1.242101751,1.431788411,0.198854203,0.290666055,0.957300887
0.489007257,2.297159823,1.813881844,1.145293936,0.40425146,0.318274065,0.952423271
0.418870315,2.529403373,1.358071994,2.1124525,0.205750181,0.2879465,0.984345004
0.163132446,2.507548803,3.059647605,1.34338364,0.319085992,0.330881518,0.956346095
0.50224328,2.361548384,1.809302904,1.729803905,0.199074857,0.287018437,0.946865883
0.349049533,2.194844857,1.112555619,1.922698133,0.690332567,0.743721891,1.041219477
0.335168611,1.83682665,1.263707969,1.363893505,0.409056433,0.420154398,0.981032941
0.694647959,2.056229018,1.141119003,2.326949872,0.611047354,0.402680459,0.9474447
0.282265656,1.764732171,1.280126069,1.515299175,0.586200086,0.594843784,1.048410404
0.376327031,2.182416426,1.450785808,4.743133113,0.827339664,0.425564777,0.974858738
0.774318814,0.681880153,0.304873986,1.548171695,0.438173814,0.544283539,0.312495511
1.5165123,0.766624684,0.453545805,0.465941988,0.374596636,0.395476911,0.287695555
1.511121938,0.716810079,0.369777693,1.298174169,0.49518249,0.358766248,0.377767999
0.323340227,1.068345978,0.961860642,1.298198197,0.423282571,0.484922901,0.281816022
1.017530879,0.764829278,0.355955632,2.07449086,0.244850991,0.357816834,0.284850923
0.487948999,0.852975256,0.700660609,1.312657539,0.50171949,3.016205505,0.276760035
0.178513712,0.787810322,0.725229084,1.398271229,0.97286636,3.406056389,0.281024841
0.350571157,0.852770814,0.251465919,2.219504118,0.825561304,3.015075997,0.374684064
0.55532852,0.831072376,0.258258404,3.173487261,0.594728533,3.204301372,0.28965699
0.705235106,0.895924801,0.81948461,2.711191773,0.668563973,3.241034597,0.267360592
0.34672999,0.8236609,0.94958609,0.257237884,0.335281249,3.477200121,0.352054345
1.116132668,0.883220141,0.592784211,0.859799888,0.34596757,3.164049238,0.36587338
1.660289465,1.011722792,0.883105025,1.042941026,0.329632871,2.838820964,0.354456692
0.302347451,0.861228973,0.436261529,2.518022247,0.426989794,3.092422895,0.363037782
0.172268661,0.780595982,0.62027094,0.987166353,0.427286839,4.506704956,0.354487193
0.142928181,1.220675058,0.521150092,1.4449507,1.163955312,0.470597856,0.356130884
0.403029604,0.767592808,0.404380448,0.670299865,1.181425247,0.401712116,0.356912822
0.175930896,0.890971139,0.412108237,0.458276737,1.197880041,0.528085232,0.357289985
0.244570067,0.68400417,0.526995631,0.520790927,2.381593734,0.469787791,0.358352461
0.128736826,1.195619155,0.412857207,1.709980518,1.098986529,0.43426971,0.356432842
0.124766916,0.536894132,0.392535422,0.156918296,1.004415657,0.403154315,0.27316215
0.34117872,0.869863033,0.729969796,0.881061703,1.035629958,0.402434124,0.52999761
0.313456528,1.048927701,0.649478612,1.248797029,1.129027642,0.387433683,0.277047954
0.698396394,0.97060781,0.541118206,0.609321753,0.97212838,0.429804949,0.341830915
0.15432826,1.172103156,1.004749071,1.560750231,0.966044236,0.37652764,0.377632747
0.205790002,0.862132634,0.473045697,0.375131285,1.720659249,0.992953312,0.419626059
0.613531499,0.88935043,0.396178616,0.672852295,1.784158871,0.967157166,0.287110172
0.385113322,1.069820198,0.927122124,1.024170965,1.766820438,1.173577178,0.299196783
0.236426506,0.861248191,0.422706781,0.877911504,1.658457518,0.950250123,0.276324153
0.251968826,0.585054774,0.503506698,0.376393367,2.001783811,1.040613279,0.33855082
0.234047882,0.39733517,0.551180262,0.909307692,0.52929651,1.11235287,0.281572249
0.205961817,0.564795568,0.64341221,1.194712799,0.192338577,1.141848229,0.425911229
0.377113127,0.438601132,0.41735163,0.567658665,0.278643984,1.13494033,0.32774196
0.546729558,0.591734015,0.54083541,1.604721509,0.208342471,1.156897284,0.293123303
0.296918089,0.470979811,0.62107062,0.868939329,0.489139277,1.110092178,0.441370858
0.442264201,0.537941316,0.368851493,0.890414231,0.372881885,3.617759421,0.211931881
0.314939381,0.733155004,0.33329993,1.551051438,0.34287048,3.209616244,0.408794917
0.100321364,0.461897307,0.389249087,0.975417253,0.34310387,3.343350813,0.266182586
0.293856972,0.556066538,0.344910659,1.6798703,0.351123675,1.451956667,0.226153666
0.26906617,0.574270421,0.386101287,1.275557652,0.350507419,3.042147495,0.203213794
0.168907452,0.393594852,0.649147946,0.606273068,0.276174652,0.28174941,0.557461288
0.130171257,0.433914089,1.171981264,2.641896345,0.240248698,0.309455674,0.548350345
0.162728932,0.366032473,1.170118339,2.307807468,0.237776665,0.288754376,0.643158844
0.396700221,0.434878081,1.41656138,1.208183635,0.244497787,0.285583246,0.649262406
0.187987742,0.473159702,1.014325302,1.35972444,0.258336263,0.26997868,0.55357297
0.225521605,0.556833499,0.639846548,0.899566989,0.244992482,0.357444095,0.469044177
0.148075876,0.435072667,0.496399496,1.02860732,0.250333222,0.361289782,0.407273183
0.115007606,0.433431812,0.995489676,2.229453996,0.237859879,0.360115501,0.442429446
0.175848848,0.418418525,0.863089506,0.810717233,0.273018237,0.362747069,0.500036636
0.24400254,0.379646729,0.952738151,0.752313528,0.250484259,0.357766706,0.606909953
0.165428346,0.434091221,0.632026466,0.556526612,0.368093024,0.316850701,0.269606593
0.166278272,0.46738442,0.665187044,2.750990726,0.414424855,0.329352939,0.34956031
0.181398192,0.462172998,0.614038948,0.535210734,0.34044527,0.311153987,0.248689973
0.467721407,0.398333475,0.593220163,3.0917475,0.371643831,0.310948608,0.398374489
0.539963322,0.562148718,0.904167071,0.668746326,0.355817983,0.305226911,0.304335612
0.537834269,0.629628283,0.370955141,0.770338718,0.267409883,0.24898767,0.346003077
0.562148968,0.496946679,0.422456628,0.500500482,0.309217814,0.240973034,0.267498521
0.629007121,0.42323148,0.41598808,1.480968017,0.264995475,0.239469809,0.556329452
0.614587237,0.568846516,0.454379944,1.283428539,0.295001408,0.250155083,0.384627073
0.546190048,0.443906996,0.425403798,0.699741626,0.271664048,0.244837324,0.245447713
1.981459168,,16.43962264,16.5053159,16.36635065,0.348574342,2.645173296
2.374153673,,16.11105651,16.42548144,16.17833972,0.351277576,2.971374057
2.225257812,,16.44687206,16.6863516,16.0688132,0.345614529,2.878102474
2.81485997,,16.34314805,16.53626859,15.98853469,0.368470373,2.750616334
2.479123058,,16.16715342,16.17800742,15.98273814,0.357084908,3.035083227
3.126339517,,16.2082985,16.35885239,16.72978252,0.26562931,2.964852937
2.42189953,,17.23672897,16.60363674,17.15277284,0.261654868,2.578690648
2.512467272,,16.10662192,16.40731692,16.12216979,0.26677351,2.857938223
2.996526665,,16.1847055,16.19354784,16.05245471,0.277315639,2.661482431
0.857361795,,16.25107229,16.56590998,16.52844697,0.26366692,2.720497549
1.253074853,,29.2547822,30.89721799,31.44843578,3.097692691,3.49554196
0.758453842,,29.60384786,31.48622513,29.41884398,2.961199917,3.41972746
1.62998885,,28.83953452,30.66953719,33.10742378,3.150583431,3.567004576
0.668612524,,39.05366361,30.62475622,31.07886612,3.08538489,2.73288358
0.635781326,,30.30901849,30.87970912,31.10542893,2.991371602,2.725808136
0.761342105,,29.54242229,30.80581725,30.64569533,4.578303918,2.46244818
0.589915086,,28.9811939,30.2303791,30.38188219,3.279240802,3.01549267
1.035571294,,30.13090789,30.93322515,30.28225601,3.062715568,2.546188794
,,28.69445682,31.33000433,31.04920089,3.787007555,2.312957123
,,28.89707685,31.4067781,29.34861481,3.578551859,3.297296166
,,2.416681685,2.666177414,1.751368865,1.932413504,1.838156581
,,2.259015106,2.360240743,1.849823259,1.726535894,1.773436554
,,2.315004542,2.917515859,1.693347469,1.902538538,1.784926094
,,2.380036749,3.396624699,2.038322389,1.883443817,2.062053233
,,2.308798954,2.313403785,1.958267577,1.907670312,1.920318417
,,2.260021307,2.923673019,1.741013303,1.940869726,1.621225104
,,2.163105272,2.294102497,1.784355007,1.930946484,1.713822596
,,2.095832117,1.955007948,1.75646767,1.89227201,1.822458208
,,2.785726637,3.382683173,1.820817031,1.907884143,1.670850255
,,2.37496458,2.588520385,1.81891378,1.778108068,2.005918697
